TimeStart,TimeEnd,Length (s),File Name
10/17/2021 6:15:36.881,10/17/2021 6:45:38.214,1801.333,0213_Bridge05844A_afterpour_134.ASC
10/17/2021 6:45:38.214,10/17/2021 7:15:39.667,1801.453,0214_Bridge05844A_afterpour_135.ASC
10/17/2021 7:15:39.667,10/17/2021 7:45:41.120,1801.453,0215_Bridge05844A_afterpour_136.ASC
10/17/2021 7:45:41.120,10/17/2021 8:15:42.447,1801.327,0216_Bridge05844A_afterpour_137.ASC
10/17/2021 8:15:42.447,10/17/2021 8:45:43.900,1801.453,0217_Bridge05844A_afterpour_138.ASC
10/17/2021 8:45:43.900,10/17/2021 9:15:45.307,1801.407,0218_Bridge05844A_afterpour_139.ASC
10/17/2021 9:15:45.307,10/17/2021 9:45:46.660,1801.353,0219_Bridge05844A_afterpour_140.ASC
10/17/2021 9:45:46.660,10/17/2021 10:15:48.113,1801.453,0220_Bridge05844A_afterpour_141.ASC
10/17/2021 10:15:48.113,10/17/2021 10:45:49.520,1801.407,0221_Bridge05844A_afterpour_142.ASC
10/17/2021 10:45:49.520,10/17/2021 11:15:50.887,1801.367,0222_Bridge05844A_afterpour_143.ASC
10/17/2021 11:15:50.887,10/17/2021 11:45:52.320,1801.433,0223_Bridge05844A_afterpour_144.ASC
10/17/2021 11:45:52.320,10/17/2021 12:15:53.747,1801.427,0224_Bridge05844A_afterpour_145.ASC
10/17/2021 12:15:53.747,10/17/2021 12:45:55.074,1801.327,0225_Bridge05844A_afterpour_146.ASC
10/17/2021 12:45:55.074,10/17/2021 13:15:56.507,1801.433,0226_Bridge05844A_afterpour_147.ASC
10/17/2021 13:15:56.507,10/17/2021 13:45:57.947,1801.440,0227_Bridge05844A_afterpour_148.ASC
10/17/2021 13:45:57.947,10/17/2021 14:15:59.314,1801.367,0228_Bridge05844A_afterpour_149.ASC
10/17/2021 14:15:59.314,10/17/2021 14:46:00.741,1801.427,0229_Bridge05844A_afterpour_150.ASC
10/17/2021 14:46:00.741,10/17/2021 15:16:02.068,1801.327,0230_Bridge05844A_afterpour_151.ASC
10/17/2021 15:16:02.068,10/17/2021 15:46:03.501,1801.433,0231_Bridge05844A_afterpour_152.ASC
10/17/2021 15:46:03.501,10/17/2021 16:16:04.974,1801.473,0232_Bridge05844A_afterpour_153.ASC
10/17/2021 16:16:04.974,10/17/2021 16:46:06.374,1801.400,0233_Bridge05844A_afterpour_154.ASC
10/17/2021 16:46:06.374,10/17/2021 17:16:07.727,1801.353,0234_Bridge05844A_afterpour_155.ASC
10/17/2021 17:16:07.727,10/17/2021 17:46:09.160,1801.433,0235_Bridge05844A_afterpour_156.ASC
10/17/2021 17:46:09.160,10/17/2021 18:16:10.587,1801.427,0236_Bridge05844A_afterpour_157.ASC
10/17/2021 18:16:10.587,10/17/2021 18:46:11.934,1801.347,0237_Bridge05844A_afterpour_158.ASC
10/17/2021 18:46:11.934,10/17/2021 19:16:13.381,1801.447,0238_Bridge05844A_afterpour_159.ASC
10/17/2021 19:16:13.381,10/17/2021 19:46:14.768,1801.387,0239_Bridge05844A_afterpour_160.ASC
10/17/2021 19:46:14.768,10/17/2021 20:16:16.148,1801.380,0240_Bridge05844A_afterpour_161.ASC
10/17/2021 20:16:16.148,10/17/2021 20:46:17.501,1801.353,0241_Bridge05844A_afterpour_162.ASC
